node	type	sensor/gate	params	partition
112	primitive	9-3	[0.02, 6.8, 0.23, 4.2]	1
A	output	na	na	na
114	primitive	12-4	[0.007, 2.1, 0.1, 2.8]	1
cout	output	na	na	na
x	input	PTac	[2.8, 0.0034]	na
105	primitive	11-1	[0.01, 2.4, 0.05, 2.7]	1
111	primitive	6-1	[0.08, 2.2, 0.1, 1.4]	0
110	primitive	2-1	[0.06, 3.8, 0.07, 1.6]	1
y	input	PTet	[4.4, 0.0013]	na
104	primitive	4-1	[0.004, 0.5, 0.04, 3.4]	0
107	primitive	7-1	[0.07, 4.3, 0.05, 1.7]	0
106	primitive	12-4	[0.007, 2.1, 0.1, 2.8]	0
108	primitive	3-1	[0.07, 3.8, 0.41, 2.4]	0
cin	input	PBAD	[2.5, 0.0082]	na
103	primitive	9-2	[0.02, 4.1, 0.13, 3.9]	0
113	primitive	7-1	[0.07, 4.3, 0.05, 1.7]	1
109	primitive	3-1	[0.07, 3.8, 0.41, 2.4]	1
